id,profID,deptID
702,571,22
703,572,24
704,572,23
705,573,21
706,574,50
707,575,42
708,576,24
709,577,13
710,578,15
711,579,4
712,580,7
713,581,22
714,582,24
715,583,20
716,584,58
717,585,8
718,586,24
719,587,17
720,588,7
721,589,55
722,590,7
723,591,65
724,591,18
725,592,1
726,593,34
727,594,1
728,595,27
729,595,28
730,596,32
731,597,1
732,598,7
733,599,24
734,600,10
735,601,56
736,602,5
737,603,29
738,604,1
739,605,81
740,606,1
741,607,29
742,607,30
743,608,24
744,608,62
745,609,27
746,609,28
747,610,42
748,611,13
749,612,7
750,613,63
751,613,18
752,614,40
753,614,22
754,615,1
755,616,36
756,617,39
757,618,50
758,619,1
759,620,42
760,621,38
761,622,15
762,623,29
763,624,39
764,625,4
765,626,61
766,627,51
767,628,42
768,629,6
769,630,50
770,631,9
771,632,48
772,633,66
773,634,32
774,635,32
775,636,20
776,637,25
777,638,29
778,639,4
779,640,14
780,641,15
781,641,22
782,642,32
783,642,33
784,643,7
785,644,36
786,645,46
787,646,76
788,647,8
789,648,27
790,648,28
791,648,23
792,649,52
793,650,31
794,651,36
795,651,11
796,652,36
797,653,53
798,654,20
799,655,1
800,656,7
801,657,14
802,658,1
803,659,2
804,660,41
805,661,24
806,662,14
807,662,22
808,663,6
809,664,13
810,665,4
811,666,5
812,667,32
813,667,33
814,668,27
815,669,70
816,670,15
817,671,36
818,672,20
819,673,58
820,674,53
821,675,76
822,676,4
823,676,18
824,676,54
825,677,83
826,678,17
827,679,2
828,680,7
829,681,16
830,682,4
831,683,15
832,684,29
833,684,30
834,684,22
835,685,4
836,685,18
837,686,41
838,687,50
839,688,70
840,689,1
841,690,43
842,691,4
843,692,32
844,692,33
845,693,42
846,694,10
847,695,39
848,696,14
849,696,22
850,697,38
851,698,26
852,699,5
853,700,2
854,701,51
855,702,3
856,703,20
857,704,5
858,705,34
859,705,68
860,705,69
861,706,4
862,707,3
863,708,51
864,709,42
865,710,36
866,711,81
867,712,4
868,713,24
869,714,2
870,715,13
871,716,4
872,717,58
873,718,27
874,718,28
875,719,12
876,720,46
877,721,1
878,721,15
879,722,18
880,723,24
881,724,9
882,724,54
883,724,23
884,725,1
885,726,40
886,726,84
887,727,1
888,728,1
889,729,25
890,730,36
891,731,55
892,732,59
893,733,26
894,734,14
895,734,18
896,735,58
897,736,34
898,736,3
899,736,44
900,736,18
901,737,9
902,738,1
903,739,34
904,739,3
905,740,65
906,740,3
907,740,18
908,740,68
909,740,69
910,741,32
911,742,27
912,742,28
913,743,7
914,744,24
915,745,10
916,745,3
917,745,16
918,745,37
919,746,48
920,747,14
921,748,36
922,749,12
923,750,4
924,751,14
925,751,47
926,752,49
927,753,5
928,754,17
929,754,18
930,755,63
931,756,4
932,757,36
933,758,79
934,759,42
935,759,18
936,760,63
937,761,7
938,762,5
939,763,85
940,764,22
941,765,86
942,766,22
943,767,38
944,768,24
945,769,1
946,770,4
947,771,7
948,772,20
949,773,1
950,774,27
951,775,32
952,776,58
953,777,29
954,778,1
955,779,50
956,779,16
957,780,43
958,781,1
959,782,2
960,782,18
961,783,1
962,783,23
963,784,1
964,785,6
965,786,7
966,787,52
967,788,6
968,789,1
969,790,41
970,791,17
971,791,23
972,792,61
973,793,19
974,794,53
975,795,51
976,796,55
977,796,62
978,797,6
979,798,19
980,799,55
981,800,65
982,801,34
983,802,63
984,803,52
985,804,50
986,805,23
987,806,14
988,807,8
989,808,34
990,809,26
991,810,61
992,811,1
993,812,36
994,812,18
995,813,53
996,814,15
997,815,15
998,815,47
999,816,17
1000,817,41
1001,818,1
1002,819,29
1003,819,30
1004,820,22
1005,821,4
1006,821,22
1007,822,45
1008,823,50
1009,824,14
1010,825,39
1011,826,20
1012,827,29
1013,827,30
1014,828,1
1015,829,57
1016,830,4
1017,831,6
1018,832,13
1019,833,7
1020,834,36
1021,835,1
1022,836,47
1023,836,69
1024,836,22
1025,837,40
1026,838,25
1027,839,4
1028,840,32
1029,841,38
1030,842,2
1031,843,39
1032,844,20
1033,845,1
1034,846,7
1035,847,32
1036,847,33
1037,848,34
1038,849,36
1039,850,63
1040,851,27
1041,851,28
1042,852,14
1043,853,51
1044,854,24
1045,855,10
1046,856,78
1047,857,39
1048,858,21
1049,859,36
1050,860,7
1051,861,40
1052,861,67
1053,861,68
1054,862,14
1055,862,68
1056,863,38
1057,864,12
1058,865,4
1059,865,18
1060,865,54
1061,866,20
1062,867,55
1063,868,70
1064,869,51
1065,870,38
1066,871,4
1067,872,55
1068,873,7
1069,874,24
1070,874,62
1071,875,15
1072,876,7
1073,877,8
1074,878,24
1075,879,14
1076,880,25
1077,881,15
1078,882,6
1079,883,7
1080,884,32
1081,885,49
1082,886,44
1083,887,4
1084,888,15
1085,889,24
1086,890,21
1087,891,31
1088,892,51
1089,893,20
1090,894,6
1091,895,40
1092,896,78
1093,897,50
1094,898,31
1095,899,79
1096,900,5
1097,901,48
1098,902,9
1099,903,40
1100,904,10
1101,904,11
1102,904,37
1103,905,20
1104,906,55
1105,907,39
1106,908,21
1107,909,14
1108,909,69
1109,910,12
1110,910,18
1111,910,22
1112,910,23
1113,911,13
1114,912,27
1115,913,19
1116,913,86
1117,913,62
1118,914,7
1119,915,32
1120,916,29
1121,916,30
1122,916,22
1123,917,42
1124,918,39
1125,919,8
1126,920,14
1127,921,34
1128,922,32
1129,922,33
1130,923,14
1131,924,29
1132,924,30
1133,925,31
1134,926,2
1135,926,18
1136,927,46
1137,928,63
1138,928,18
1139,928,68
1140,928,47
1141,928,69
1142,929,2
1143,930,24
1144,930,35
1145,931,40
1146,932,39
1147,933,21
1148,934,13
1149,935,1
1150,936,50
1151,937,20
1152,938,65
1153,939,74
1154,940,13
1155,941,52
1156,942,1
1157,943,7
1158,944,10
1159,945,49
1160,946,38
1161,947,36
1162,948,29
1163,948,30
1164,948,23
1165,949,9
1166,949,22
1167,950,36
1168,951,7
1169,952,4
1170,953,23
1171,954,20
1172,955,32
1173,955,33
1174,956,5
1175,957,36
1176,958,1
1177,959,6
1178,960,50
1179,961,21
1180,962,43
1181,963,22
1182,964,1
1183,965,42
1184,966,39
1185,967,36
1186,968,2
1187,969,61
1188,970,2
1189,971,61
1190,972,7
1191,973,39
1192,974,9
1193,975,4
1194,976,2
1195,976,3
1196,976,18
1197,977,25
1198,978,7
1199,979,17
1200,979,18
1201,980,55
1202,980,37
1203,981,79
1204,982,81
1205,983,55
1206,984,15
1207,985,15
1208,986,32
1209,986,33
1210,987,19
1211,988,55
1212,989,26
1213,990,13
1214,991,19
1215,992,4
1216,993,51
1217,994,53
1218,995,15
1219,996,2
1220,997,7
1221,998,4
1222,999,78
1223,1000,1
1224,1001,4
1225,1002,7
1226,1003,2
1227,1004,20
1228,1005,82
1229,1006,36
1230,1007,49
1231,1008,20
1232,1009,87
1233,1010,29
1234,1011,9
1235,1012,20
1236,1013,10
1237,1013,11
1238,1014,4
1239,1015,34
1240,1015,18
1241,1015,22
1242,1016,50
1243,1017,19
1244,1018,41
1245,1019,45
1246,1020,50
1247,1021,1
1248,1022,13
1249,1023,13
1250,1024,10
1251,1025,5
1252,1026,12
1253,1027,1
1254,1028,85
1255,1029,24
1256,1030,45
1257,1031,79
1258,1032,8
1259,1033,7
1260,1034,49
1261,1035,32
1262,1035,33
1263,1036,34
1264,1036,3
1265,1036,61
1266,1037,17
1267,1037,18
1268,1037,22
1269,1037,23
